ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
17373,50000,2,,1,28,0,0,0,0,0,0,27888,18602,9795,32694,28899,28924,2000,4239,28000,1015,2000,,0
17374,110000,2,1,2,33,-2,,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,,0
17375,50000,2,3,1,46,2,,2,2,0,0,46677,48101,49060,47086,9306,8962,,,4,503,1109,703,1
17376,350000,2,2,2,31,1,2,0,0,0,0,279767,253462,259137,264798,,,0,9754,10000,9396,10083,9439,0
17377,70000,2,2,1,42,0,0,0,,0,,24133,24741,,25978,26341,26093,1702,,1717,,1094,969,0
17378,210000,2,1,1,38,1,-2,,-1,-1,-1,0,0,517,-1,932,1066,,517,,933,,462,0
17379,180000,2,2,1,36,0,0,0,,-2,-1,20138,21494,25600,0,0,36565,2000,5000,0,0,36565,,0
17380,30000,,,,28,,0,0,2,2,0,12430,13419,15897,16340,15780,16127,1200,2700,1000,0,,1400,0
17381,630000,2,1,1,31,0,0,0,0,,,447263,458762,470298,480587,385587,373910,20000,20000,,15000,15000,,0
17382,220000,2,,1,41,0,0,0,0,0,0,143660,126532,90013,,86139,83743,5005,4500,4006,3000,3000,3000,0
17383,280000,2,,,44,0,0,0,,0,0,230931,235635,,198808,187425,177340,,7665,6497,5555,5027,5065,0
17384,340000,2,2,1,40,0,,0,0,0,0,244451,,228760,229404,161551,164936,10000,10000,7100,5800,,6100,0
17385,180000,2,1,2,33,2,-1,-1,-1,-1,-1,416,416,,,150,982,416,416,,150,982,416,1
17386,250000,,2,1,35,-2,-2,,-2,-2,-1,7379,42849,24502,25016,33754,4418,,25000,15167,80000,5000,6000,0
17387,20000,2,,2,48,1,3,2,2,2,,17100,16537,16283,17708,18121,17692,0,300,2000,1000,0,792,1
17388,140000,2,2,,40,0,0,,,0,0,102502,,99579,99004,88485,85218,5000,5000,5000,,3000,4000,0
17389,130000,,2,2,44,2,0,0,2,2,2,,,78411,79725,81311,83048,2700,6500,3200,3500,3200,3300,1
17390,120000,2,1,1,38,0,,0,0,0,0,65645,,29044,21889,14536,25636,15000,1462,,3000,14000,254,0
17391,360000,,,1,42,1,-2,-2,-2,-2,-2,0,,0,,0,0,,0,0,0,0,,0
17392,240000,2,2,,43,,0,0,0,0,0,50120,48502,49001,47026,45827,,1781,2200,1923,1682,2000,,0
17393,310000,2,2,1,40,-2,-2,-2,-2,,-2,3268,206,589,,28252,15081,206,589,,28252,18381,4100,0
17394,100000,,3,,46,2,2,2,2,2,2,43677,42674,45983,46927,47759,46865,0,4000,2000,1900,0,,1
17395,200000,2,1,,,-2,-2,-2,,-2,-2,1324,0,0,,0,0,0,0,,0,,0,0
17396,80000,2,2,1,29,2,2,2,2,2,,72674,,72464,76613,,76034,,0,6000,,0,4200,0
17397,210000,2,1,2,32,-2,,-2,-2,-2,-2,19959,,-2,560,6190,243,,0,,,243,4061,0
17398,,2,1,2,,-2,-2,-2,-2,-2,,0,0,0,0,0,0,0,,0,0,0,0,0
17399,70000,2,2,,,0,0,0,0,0,0,66701,69907,67450,61902,19551,,53000,26017,,17000,24000,,0
17400,60000,2,2,2,36,0,0,,0,0,0,57724,56597,50766,47022,31606,30820,2000,5015,2000,3000,,1500,0
17401,200000,2,1,1,49,-1,,-1,-1,-1,,950,950,950,950,0,1900,950,950,950,0,1900,,0
17402,,,2,2,48,-1,-1,0,0,0,0,879,8061,8290,7838,7998,8161,8061,,1000,160,163,9217,0
17403,50000,2,3,1,46,1,2,-1,3,2,0,,6024,116,,9982,8143,0,116,0,10040,400,2272,1
17404,70000,2,2,1,41,0,,0,2,0,0,68953,68908,68799,65250,53934,54149,3000,3810,2010,2054,2000,1872,0
17405,,2,2,,48,0,0,0,0,-1,-1,23575,,,6500,6788,6887,1300,1200,1000,6788,,13041,0
17406,140000,2,2,1,47,,-2,-2,-2,,-2,,0,0,,0,0,0,0,,0,0,0,0
17407,350000,2,3,1,36,0,0,0,0,0,0,42548,41593,40375,37959,36416,34875,2000,2000,,1200,1200,1500,0
17408,150000,2,1,2,30,,,0,0,-2,,7674,432,2232,0,0,0,432,2000,0,0,0,5757,0
17409,50000,,2,1,39,0,,0,0,0,0,32802,31002,32115,31824,32498,21757,,2000,1000,1064,,290,0
17410,,2,3,1,47,0,0,,-2,-2,-2,38909,14512,0,0,0,0,,0,0,0,0,0,0
17411,30000,2,2,,36,0,0,0,0,0,0,11896,12990,14073,,,,1600,1600,1600,1000,1000,1000,0
17412,20000,,3,1,38,0,0,0,,0,,15894,15354,14786,16457,15423,14837,1225,1329,2000,2000,,1500,0
17413,,2,2,,33,0,,0,,0,0,26740,12498,16264,17918,16072,,,4000,2000,,2000,2396,0
17414,30000,2,2,2,47,2,2,2,2,2,2,15089,16039,17080,17302,17521,17893,1500,1600,800,,800,800,1
17415,230000,2,0,2,47,-1,-1,,2,-1,-1,8394,5743,1336,255,5425,,5743,1598,0,,4838,3840,0
17416,70000,2,3,1,43,2,2,0,-1,0,0,85863,78125,68899,,29289,29898,0,1378,70000,,1220,1119,1
17417,30000,2,2,2,49,0,0,0,0,2,2,15013,,18083,20275,20445,20971,1400,2500,2500,800,1000,800,0
17418,150000,2,3,1,33,0,0,2,0,0,0,147350,154848,151591,151549,146417,,11150,0,,8046,,5100,0
17419,40000,,2,,38,-1,0,0,0,,0,19537,20416,21151,21884,26213,30480,1500,1356,1380,5000,5000,1128,0
17420,250000,2,,1,31,,,0,0,0,,142905,,93844,74441,74553,64640,4000,4100,3010,2205,2045,2200,0
17421,200000,2,2,1,46,1,,2,0,0,2,,33017,30413,32582,34727,,3058,0,3000,3000,,,0
17422,190000,2,2,1,31,,-1,-1,2,,-1,-92,465,,1397,1554,1561,2000,4000,0,1600,1600,1700,0
17423,,2,1,,,0,-1,0,0,0,0,5602,48329,45281,31219,24962,,,,1500,4962,815,10000,0
17424,20000,2,,1,36,0,0,,0,0,0,14822,17216,17541,,19100,2200,3641,900,1200,1000,100,0,1
17425,200000,,2,1,47,0,,0,0,0,0,193229,197253,158980,157837,127528,119550,9058,7260,7367,4303,4551,4411,0
17426,60000,2,2,1,38,0,0,0,0,0,,58890,59620,60039,58887,29050,26055,2620,2906,2588,1055,,1339,0
17427,30000,2,2,2,,0,0,0,2,0,0,28144,27470,30698,,27673,27826,2000,4000,0,,1000,,0
17428,230000,2,2,2,38,-2,-1,0,0,0,0,845,53006,50879,50660,51282,53162,,,2133,1138,,1179,0
17429,130000,2,2,1,33,0,0,0,0,0,0,84963,83958,,85690,,87996,,4012,3885,3158,4704,3218,0
17430,140000,2,,1,44,,0,0,0,0,0,127254,109717,81545,81454,,79728,6050,3700,2000,3000,20000,1500,1
17431,360000,2,1,1,,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
17432,,2,1,2,31,3,2,2,,2,,6186,5941,8541,8560,8274,9135,0,2869,305,0,1000,1000,1
17433,100000,2,2,2,,-1,-1,-1,-1,-1,0,1046,,2187,678,,944,2702,,678,2040,,,0
17434,210000,,,,45,1,-2,-2,-2,-2,-2,0,0,,0,0,0,0,0,0,0,0,0,0
17435,50000,2,3,1,32,-1,-1,-1,,,-1,,1444,1447,1261,1261,1261,1444,1447,1261,1261,1261,91,0
17436,380000,2,1,1,44,0,0,,0,0,0,365023,365445,350474,342569,307959,309709,14320,15065,,15026,12017,12031,0
17437,50000,2,1,,39,0,,0,0,0,0,,,48322,45353,19426,19857,2116,2320,1300,1000,700,600,0
17438,200000,2,2,2,30,-2,-2,-2,-2,-2,-2,4690,,4900,1508,2451,2966,2028,4942,,2467,2972,6317,0
17439,50000,2,1,1,30,0,,0,0,0,0,46791,,34256,30723,19766,20449,,1855,1341,706,,,0
17440,,2,,1,31,,0,0,0,0,0,,145763,134887,105822,86341,88072,10001,6712,,3400,3201,,0
17441,30000,2,,1,,0,0,0,0,-2,-2,17168,28655,29239,9435,724,724,12155,2000,1920,724,,3294,1
17442,30000,2,2,2,34,1,,0,,0,0,29678,28878,26758,27462,28014,29826,0,1751,,1007,,,1
17443,110000,2,2,,,0,0,0,0,0,0,132062,126641,120209,112912,85884,87764,5000,5000,3600,,4000,3000,0
17444,30000,2,2,1,,,,,0,0,2,19707,,22080,22810,25772,26360,,1700,1400,3355,1146,0,0
17445,130000,2,,1,39,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
17446,260000,2,2,1,39,2,2,0,0,2,0,238601,228443,233958,252615,,190345,,10698,24799,0,7035,,1
17447,30000,,2,1,43,2,2,2,2,2,2,28264,28703,26622,24022,24368,20859,2000,1300,2,1608,0,900,1
17448,220000,2,2,2,47,0,0,0,0,0,0,137736,130527,,121336,121736,,5100,6540,5000,5000,5000,4600,0
17449,120000,2,1,1,33,0,0,0,-1,-1,0,35563,25614,19747,1201,2333,2250,1426,6400,1500,,0,0,1
17450,100000,2,2,2,43,0,0,,2,2,0,,54716,58766,58950,56889,60255,5000,,2300,0,5000,5000,0
17451,100000,,2,1,,0,0,0,0,0,,88231,91090,95935,78939,28667,29549,4326,7400,2914,1500,1500,1500,1
17452,70000,2,2,,44,0,0,,-1,0,0,79696,75167,,69385,30103,3752,,1600,94540,1124,100,3091,1
17453,20000,2,2,1,46,1,2,,0,0,0,,12749,13834,14894,,16251,0,1600,1600,700,1601,1620,1
17454,320000,2,,1,36,-1,2,0,0,0,0,7868,6728,,16876,20443,24101,0,8000,5000,,,11906,0
17455,210000,2,2,1,45,0,0,0,0,0,0,209495,213691,214177,192223,125412,,,10730,7100,,4000,3300,0
17456,90000,,3,1,37,0,0,0,,0,0,78159,82779,86905,88310,79842,81235,8000,,4000,3000,2700,17000,0
17457,120000,2,3,1,36,0,0,0,0,0,2,91914,94638,96290,,102959,104872,4260,4371,,7900,4000,0,0
17458,360000,2,2,1,35,0,,0,0,0,-2,,61629,59194,59444,-2206,-2206,2145,3721,2839,1303,0,,0
17459,140000,2,3,1,30,0,0,0,0,2,0,93157,96304,98007,82227,65000,60848,4700,4505,12906,0,2210,2300,0
17460,300000,2,,1,,-1,,,-1,0,0,,1589,2039,,13804,11600,1589,,13926,,0,,0
17461,,2,2,1,,2,,2,-1,0,-1,390,,390,780,390,780,,0,780,0,780,0,1
17462,,2,3,2,44,1,-1,-1,,-1,,0,4142,,5053,0,0,4142,,5053,0,,0,1
17463,190000,2,2,1,46,0,,0,0,0,,140626,114690,110884,111200,87619,92418,8000,5000,12028,5000,10418,5000,0
17464,140000,2,2,1,40,-1,-1,-1,-1,-1,0,815,8397,390,390,780,390,8419,390,390,780,0,390,1
17465,,2,1,1,37,0,0,0,0,2,2,37958,40487,41590,43967,44722,46032,3023,1600,2900,1600,2000,,0
17466,500000,2,,1,,0,0,,-1,0,0,53477,,0,113904,116168,117375,0,,113904,4130,,4103,0
17467,300000,2,1,,,-1,-1,-1,-1,-1,0,2884,3558,2778,2778,5367,2589,3558,,2778,5367,,3661,0
17468,,2,,2,,0,0,0,0,0,0,151652,146805,143134,136777,133938,133723,6000,7000,5000,5000,5000,4679,0
17469,360000,2,3,1,44,,-1,-1,-1,,-1,2877,1852,2068,2185,,321,1861,2078,2361,9608,322,322,0
17470,90000,2,2,1,32,0,0,,,0,0,68248,57751,45074,38489,28558,29245,2388,2000,,,1300,1200,0
17471,150000,2,,1,44,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
17472,500000,2,1,1,,0,0,0,0,0,,224387,165727,119760,72506,60548,57212,10100,7041,4123,5039,5071,3548,0
17473,80000,2,,,29,,0,,0,0,0,24822,25824,,27920,,29000,1720,1500,1762,1200,1250,3200,0
17474,10000,2,3,2,46,1,2,-1,2,0,0,4474,189,,3306,,5577,0,3510,0,300,2260,2000,1
17475,180000,2,1,1,46,-1,-1,,-1,-1,-1,9509,15419,14188,11926,9718,34322,16359,14293,11949,9737,34449,25691,0
17476,150000,2,5,2,36,0,0,0,0,0,0,144833,141559,80614,110343,64419,,6041,,64442,3000,2000,,0
17477,80000,2,,1,44,-1,-1,-1,-1,,,14686,3673,11285,500,500,6155,3673,11285,,500,6155,,0
17478,60000,2,,,30,1,2,0,0,2,2,14135,13616,16065,18092,17504,,0,,2300,0,2000,0,1
17479,240000,2,1,,,-1,-1,-1,,,-1,380,380,380,,0,380,,,380,0,380,,0
17480,50000,,3,1,35,-1,,0,,0,0,10458,37907,33604,25303,17841,6980,37907,1599,1200,0,0,3570,0
17481,230000,2,1,2,33,0,0,0,0,0,0,19518,21735,22599,20600,,38793,3735,3599,3600,,15000,5865,0
17482,40000,2,2,2,,0,0,,0,,0,34253,34954,36093,36891,37019,40734,1567,2000,,1318,,0,0
17483,250000,2,,1,33,,2,2,,,-2,2500,2500,0,0,0,0,0,0,0,0,0,0,1
17484,50000,2,2,1,32,1,2,2,2,0,0,51132,49594,50292,48532,27308,27539,0,4800,0,,1200,,0
17485,,2,,1,39,2,2,2,2,4,3,,,,58310,57150,,,3500,6200,358,,2100,1
17486,50000,2,3,2,41,2,2,2,2,2,2,23043,24064,24981,25473,25857,26298,,1600,1200,1100,1000,0,1
17487,60000,2,2,1,38,0,0,0,0,0,0,55120,47123,48367,48264,29144,,1735,1979,1443,988,974,2001,0
17488,,,3,2,35,,0,0,0,0,0,92509,,80435,79969,77108,76579,3472,3604,2972,3000,2228,2201,0
17489,50000,2,2,1,43,0,0,0,0,-2,-2,,,,0,,0,1500,,0,0,,0,1
17490,400000,2,1,1,48,-1,2,2,,-1,0,1908,1442,8162,-1010,3332,331,0,8513,,4903,,4816,0
17491,50000,2,2,,39,0,0,0,0,0,0,49005,49407,45881,45784,50072,49112,6000,,5000,8000,4000,4000,0
17492,100000,,3,2,31,0,-1,-1,0,-1,-1,15856,510,2279,1796,466,466,510,2279,1730,466,466,468,0
17493,100000,2,2,2,34,0,0,0,0,,0,22173,,23837,,24216,24901,1372,,1554,1000,1000,586,0
17494,360000,2,1,,35,,0,0,-1,,,1555,6392,3773,17917,21057,0,6000,3000,18117,5371,0,,0
17495,30000,2,3,2,41,0,0,0,0,0,0,12001,12450,,,7610,,1485,1301,1000,152,140,780,0
17496,50000,2,2,1,32,,0,0,0,0,0,,36345,10529,8337,,0,1500,1847,1000,0,0,0,0
17497,80000,2,2,,28,2,,0,0,,,,49884,,22063,8723,,2158,1708,,4,21,,1
17498,150000,2,,2,28,-1,-1,-1,,-1,0,326,326,326,326,652,326,326,326,326,652,0,,0
17499,10000,2,3,1,33,2,,2,0,0,0,7708,9912,9608,9639,9985,11084,2500,0,1200,500,1400,1,0
17500,200000,2,2,1,35,0,,0,0,0,0,3773,7677,14704,8000,,16285,,7240,2000,2285,6000,1500,0
17501,30000,2,2,2,42,-1,-1,2,-1,-1,-1,836,1672,836,390,,390,1672,,390,390,390,0,0
17502,220000,2,1,1,37,,,,0,0,0,152197,154167,,162348,,168013,,7300,7500,6000,,7000,0
17503,180000,2,1,2,28,0,0,0,0,0,0,161694,166198,168711,172263,174127,176335,7500,7000,7189,,5100,10000,0
17504,220000,2,1,2,30,0,0,0,,0,0,204491,,174680,,61415,61982,7000,7500,2369,2000,2078,,0
17505,220000,2,1,2,29,-2,-2,-2,-1,-1,-1,0,799,,5501,3816,15448,799,0,5501,3816,15448,,0
17506,390000,2,2,2,33,,0,,0,0,0,45818,144656,,99008,69990,71935,100000,6000,3704,2741,3314,2556,0
17507,,2,2,1,36,1,-2,-2,-2,-1,0,0,0,,0,,11760,0,0,0,,235,2270,0
17508,560000,2,2,1,45,0,0,0,,,0,374663,382010,379652,387706,334908,341884,13195,13510,14292,11553,12130,11703,1
17509,240000,,1,1,,0,0,,0,0,0,173677,176304,355496,176402,174440,172806,8000,9500,12448,6155,6453,6390,1
17510,410000,2,2,1,43,0,,,0,0,0,6917,,8726,9760,9570,,1130,2000,2200,312,500,363,0
17511,90000,2,2,2,36,1,-2,-2,-2,-2,-2,0,0,,0,0,0,0,0,0,0,,3500,1
17512,30000,2,1,2,31,,0,0,2,0,0,28803,28635,30217,28919,29302,,1800,3600,0,,1500,3300,0
17513,40000,2,2,,33,,2,2,2,2,2,23734,24644,25749,26127,,25839,1600,1800,1100,,0,,1
17514,60000,2,2,2,46,0,0,0,0,0,0,,39558,41690,21151,30059,13046,1870,3002,1364,10000,474,,0
17515,390000,,2,1,41,0,0,,0,0,0,216622,214504,212726,210556,,205339,7244,7500,7228,7103,7214,7000,0
17516,130000,2,2,1,35,0,0,0,0,0,,80713,93349,68158,69208,54677,59601,28000,3500,3000,3000,10000,3500,0
17517,90000,2,2,2,32,3,2,2,2,0,,27565,28613,29364,28596,30120,31285,1800,1500,0,2000,,1000,1
17518,300000,2,2,,,0,,,0,0,,,,139649,104245,56788,57920,6700,5800,5000,2200,2200,2600,0
17519,,2,,1,33,0,0,0,0,0,0,204205,210183,,189161,180715,171449,,10000,8140,8000,7000,10000,0
17520,20000,,1,,,0,,,3,2,2,,,,,15529,,5000,1000,0,0,1400,0,0
17521,,,3,1,35,0,0,0,0,0,0,119184,,90894,85805,85907,88615,14113,,3000,,,10000,0
17522,150000,2,6,1,47,0,,0,0,0,0,89327,90666,91721,93063,92758,93876,4539,4218,4204,3296,3408,3416,0
17523,120000,,3,1,44,0,0,0,0,0,0,16735,18150,19528,,18617,21381,,2000,2000,1000,3000,,0
17524,200000,2,,1,37,1,,0,,0,0,7841,7569,9282,10155,12470,13571,0,2000,1155,2470,1265,0,0
17525,20000,2,2,1,,0,0,0,,0,0,4314,5190,6554,,5844,6079,1500,2000,,155,1000,0,1
17526,110000,2,2,1,41,2,,2,2,2,2,,25883,,28945,28183,29869,3200,0,4200,0,2300,0,1
17527,,2,2,2,34,0,,,0,0,0,305781,310403,315048,314085,317631,315820,,12012,12012,11016,11088,12031,0
17528,210000,2,3,1,,0,0,0,0,,0,124147,,54971,37849,42240,32981,,5000,,5000,1500,4000,0
17529,370000,2,2,2,40,-2,-1,0,0,0,2,,191438,,188960,,184094,191446,7002,,15960,0,122400,0
17530,80000,2,3,,41,0,0,0,,0,0,69964,52041,39864,38934,38816,,3082,2500,,2000,2000,,0
17531,200000,2,3,1,42,-2,,-2,-2,-2,-2,1261,1261,1261,1261,1261,1256,1261,1261,1261,1261,,1880,0
17532,180000,2,2,,35,-1,-1,-1,-1,-2,-2,1264,176,1247,0,0,0,,1247,0,0,,1768,0
17533,260000,2,2,2,,0,0,,0,0,0,131211,,,,137065,108328,,4215,4101,,,3300,0
17534,50000,2,,1,43,0,0,2,2,0,0,,,21188,20550,,,3000,2000,0,1000,1000,1000,1
17535,150000,2,3,1,40,-1,-1,,-1,-1,-1,5916,5876,5956,,5496,5116,5876,5956,5876,5496,5116,,0
17536,190000,,3,1,45,0,0,0,0,0,0,76433,78472,80548,81778,83082,84811,,3331,3359,2663,2751,3000,0
17537,160000,2,,2,42,-1,-1,-1,-1,-1,-1,13849,40862,2239,552,,-1,40991,,553,19425,,649,0
17538,180000,2,,1,37,0,0,0,,0,0,,48433,46325,47354,48323,49416,,1771,1800,1750,1893,2000,0
17539,,,2,,,0,0,,0,0,0,7469,,9143,,9713,9458,1138,1173,1138,477,,600,0
17540,30000,2,2,,47,0,0,2,2,2,2,27119,29243,31037,30908,29969,29488,2894,2559,800,600,1000,0,0
17541,,2,2,1,36,1,2,2,2,2,0,32196,31379,,35007,34147,35437,0,,2000,0,,3500,1
17542,20000,2,2,2,37,,2,,0,0,,16174,15617,16646,17648,,,0,1285,,1458,0,644,1
17543,100000,2,2,1,43,-1,-1,-1,-1,-1,-1,1597,2491,1709,574,,2306,,,574,556,2306,2562,0
17544,20000,,2,1,40,0,,0,,,-1,10470,,9936,10790,230,-160,1145,,1400,390,,19371,0
17545,,2,2,1,35,,,,2,2,2,5890,7282,9455,9154,10001,10046,1500,2454,0,1000,350,0,1
17546,20000,2,3,2,48,0,0,0,0,0,0,17332,,17947,18758,19292,,,1367,,712,742,2000,0
17547,50000,2,,,,2,0,0,0,2,2,,32420,33462,36199,36803,,,1563,3300,1500,,,1
17548,110000,2,2,,38,2,2,0,0,0,2,41619,40650,41744,42783,47476,,0,,1750,5400,700,1000,1
17549,60000,2,2,1,48,0,0,0,0,0,,,50980,51874,51808,,,2000,,1400,,,1000,1
17550,50000,2,2,2,35,1,2,,0,,-2,50421,41408,35929,0,0,,,2180,,0,0,0,0
17551,200000,2,1,2,40,2,2,,0,0,2,185696,181236,185410,189069,,183299,0,8600,8300,13257,,7000,1
17552,360000,2,2,1,48,-2,,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
17553,,2,,1,35,0,0,0,0,0,0,46640,47686,48737,50157,51560,,1600,1600,,2000,2000,2000,0
17554,230000,2,,1,46,,-1,0,0,0,,207,4090,5848,,9331,12687,4999,2655,1919,3400,3920,6655,0
17555,180000,2,2,2,39,,0,-1,-1,-2,-2,2875,,2125,,0,,0,,0,0,0,0,0
17556,180000,2,,2,31,,-1,-1,-2,,-2,0,1152,3338,,0,0,1152,3338,0,0,0,0,0
17557,50000,,2,2,42,0,,,0,0,0,48080,48062,48667,49311,,24854,1763,2112,1756,,336,351,0
17558,570000,,1,1,39,,-2,-2,-2,-2,,2394,3872,3635,5130,7563,4889,3882,,5145,,4894,4232,0
17559,30000,,,,45,1,2,2,2,2,,13440,13923,17194,16625,17442,18016,1000,3500,0,1400,1000,1000,0
17560,140000,2,2,1,46,-1,,-1,-1,-1,-1,264,1024,264,1024,264,264,1024,528,1024,264,264,414,0
17561,50000,2,2,1,44,0,0,0,0,0,0,,,5391,,6528,6664,1077,1100,1106,233,,,1
17562,50000,2,1,1,35,0,0,2,2,2,0,44487,47438,46400,,48286,47915,4000,0,3700,0,2000,6000,1
17563,120000,2,1,2,35,,-2,-1,-1,-1,,0,0,234,4394,3164,5700,0,234,4394,3164,5700,300,1
17564,120000,2,1,2,35,-1,-1,,-1,,-1,2776,2549,2558,2577,249,1976,2549,2558,2577,0,1976,,1
17565,50000,2,,2,45,-2,,,-2,-2,-2,,330,4975,4810,330,330,330,4975,4838,330,330,330,0
17566,,2,2,1,,-1,-1,-1,-1,-1,-2,899,2879,,9931,0,,,8750,9931,0,,3450,0
17567,80000,2,3,,42,0,0,-2,-2,-2,-2,71650,0,,0,0,0,,0,0,0,0,0,0
17568,300000,2,1,1,,-2,-2,-2,,-2,-2,-763,-754,-745,-1302,,-518,1000,1000,1100,,1000,2500,0
17569,80000,2,1,1,37,-1,-1,-2,-2,-2,-2,,0,0,0,,0,0,0,0,0,0,0,0
17570,70000,2,,2,34,,,0,0,,0,71332,71122,,66541,31609,,2744,3239,3405,1085,1102,1155,1
17571,320000,2,2,,40,,,0,0,0,0,96225,99606,100704,208794,213025,217400,5000,2704,108794,5123,5255,,0
17572,500000,2,1,2,35,0,0,0,0,0,0,12590,,14650,15559,14861,15173,1225,1277,1186,478,496,509,0
17573,250000,2,1,2,35,-1,-1,,-1,,0,4807,10446,17904,99464,86180,,,17911,99738,4055,,0,0
17574,230000,,2,1,46,0,0,,-1,-1,-1,8136,3590,2936,,476,476,1500,1000,476,476,476,1685,0
17575,80000,2,3,,,0,0,0,0,0,0,35401,,37689,38580,39104,39484,1587,,1768,1292,900,1365,0
17576,170000,2,2,1,40,2,-1,,-1,-1,-1,193,3760,3500,7190,9000,0,3760,0,7190,9000,0,,1
17577,110000,2,3,0,31,0,0,0,0,0,0,89955,89989,84229,79288,73315,63818,7908,4000,5000,3000,3000,3000,0
17578,240000,,1,2,31,0,0,-2,-2,-2,-1,43601,-15,-15,-15,-15,1185,0,0,0,0,1200,,0
17579,150000,2,3,1,46,0,0,,0,0,0,,62731,64047,,,,2240,2321,2980,2400,2468,2611,0
17580,90000,2,3,,37,0,,0,0,0,0,91193,91078,86785,79894,50546,34427,7006,5026,7031,6000,1345,1500,0
17581,100000,2,,1,36,2,0,0,,0,0,,101638,101461,101461,91752,91532,4500,5000,4000,3300,3400,15003,1
17582,30000,2,2,1,42,,2,0,0,0,0,30149,28117,27761,28053,,,0,2000,1507,3100,3100,3100,1
17583,80000,2,,1,40,2,0,0,-2,-2,-2,80934,82150,0,0,0,0,3800,0,0,0,,,1
17584,260000,2,2,1,49,-1,-1,-1,0,0,,8046,2184,15475,10981,8566,4741,2184,,2000,3000,1000,5125,1
17585,200000,2,3,,43,-1,-1,-1,-1,-1,-1,623,623,5477,,623,773,623,5477,623,623,773,623,0
17586,20000,2,,1,39,2,3,,2,3,,15307,14769,15232,,16119,16548,0,,2000,0,1000,1000,1
17587,160000,2,1,,31,-1,2,-1,-1,-1,,1494,696,1395,898,894,2198,2,1399,903,896,2204,786,1
17588,70000,,2,2,38,1,2,,2,2,2,21047,22102,22949,23275,23596,23078,,,1000,1000,0,2100,0
17589,20000,2,2,1,43,0,0,0,0,0,0,6459,7470,8492,9547,20766,12197,1123,1145,,2000,3000,1000,0
17590,200000,2,1,1,45,-1,-1,-1,,,,632,337,670,0,0,0,337,670,0,0,0,,0
17591,,2,,1,49,0,0,0,0,0,0,386288,367400,347445,,307773,293357,14453,12611,13022,10572,10270,10722,0
17592,20000,2,3,,43,4,3,2,2,0,0,20461,19833,20502,19461,19244,20130,0,1700,,800,1600,1000,0
17593,,2,1,1,35,0,0,0,0,0,0,107905,,104079,104829,107400,,4000,5300,,4200,4000,3800,0
17594,130000,2,3,1,44,,0,0,0,,0,122264,125756,129159,127727,130334,0,3541,3497,2875,2607,0,0,0
17595,50000,2,2,1,33,0,0,0,0,2,,40738,43923,45409,47718,46480,48756,4200,2500,3500,0,2800,1400,0
17596,290000,,1,1,35,,-2,,-1,,,0,0,0,2262,5205,,0,,2262,3000,,0,1
17597,480000,2,2,1,38,-1,0,0,-1,0,,4658,10545,,51723,40511,37226,6000,3066,,5030,3039,3112,0
17598,310000,2,1,2,29,-2,-2,-2,-2,-2,-2,976,,-7,-7,1440,3079,0,0,0,1447,,,0
17599,30000,2,2,1,30,0,0,0,0,2,0,24061,25156,25949,28478,,28186,1800,1500,3000,0,1001,,1
17600,500000,2,4,1,39,1,,-1,,-2,-1,-397,227,-37,-37,-37,213,,0,0,0,250,0,0
17601,80000,,2,2,31,0,0,2,,0,,51160,54207,52775,53906,,61402,4500,0,2000,7100,2400,0,0
17602,100000,2,2,1,32,0,,0,0,,0,74136,72052,71007,69470,65424,64349,3200,3300,2910,,2340,2400,0
17603,,2,3,1,37,0,0,0,0,0,0,74117,72168,70177,,,53266,2589,2511,2254,2000,,1766,0
17604,,2,2,1,,0,0,0,0,0,0,,92917,,85295,,,3348,3381,3400,2684,2744,2892,0
17605,180000,2,3,,43,-1,-1,-1,-1,-1,-2,780,0,390,,,0,0,780,780,0,0,,0
17606,50000,2,2,1,43,0,0,0,2,0,0,51229,46954,51221,49759,49820,50525,2100,5896,0,2000,1988,2000,0
17607,60000,2,,2,34,0,0,0,0,-1,0,39505,43497,49449,57500,,,,,10000,4749,5000,10000,0
17608,50000,2,,1,40,-1,,-1,,-1,-1,4860,8389,22049,8110,3164,10148,8389,22049,8117,3164,10148,7949,0
17609,70000,2,3,1,38,1,,,0,0,0,59020,57400,21868,13514,14303,14211,50,,,,1000,1000,0
17610,,2,2,2,36,0,,0,0,0,0,81793,84360,89215,93908,14308,14808,2682,5000,5000,1000,500,,0
17611,350000,2,,1,42,-1,,-1,-1,-1,-1,360,360,,360,510,510,,360,360,510,510,,0
17612,170000,,2,1,,0,,0,0,0,0,,159482,161921,,128038,130931,,6500,7000,,5000,5000,0
